# SIX columns (additional commas do not split fields)
# Module, Talkgroup, M17    ,Peanut Room, XLX, description
#
# in the XLX link column, URLS are automatically wrapped around
# anything of the form XLX??? if a dashboard URL is available
# in the reflector list
A,              ,           ,        , XLX060-A<br>XLX076-A<br>XLX165-A<br>XLX246-A<br>XLX268-A<br>XLX508-A<br>XLX511-A<br>XLX519-A<br>XLX600-A<br>XLX699-A<br>XLX842-A<br>XLX861-A<br>XLX875-A, XLX Worldwide
B*, FreeDMR530  , M17-NZD-B , XRF299B, Allstar<br>511781<br><a href="http://ycs530.xreflector.net/ycs/">YCS530-53</a>, ZL National <a href="https://freedmr.dvnz.nz/">FreeDMR</a> 530
C*,             ,           , XLX315 , XLX315-C, USA
D,  BM530       ,           , XLX530 ,         , ZL National BrandMeister
E,              , M17-NZD-E ,        ,         , M17 Bridge
F,  FreeDMR5302 , M17-NZD-F ,        ,         , ZL2 Regional FreeDMR 5302
G*, TGIF969     ,           , TGF969 ,         , <a href="http://wiki.tgif.network/index.php?title=DMR_Carribbean">DMR Carribbean</a>
H,              ,           ,        ,         , <a href="https://anzel.radio/">ANZEL</a><br>Australia &amp; New Zealand EchoLink
I,  FD50510     ,           ,        ,         , FM RepeaterLink VK/ZL
J,              ,           ,        ,         , D-Star only
K*, FreeDMR53029, M17-NZD-K , XRF299K, XLX626-K, Kiwi chit-chat rag chews
N,              ,           ,        ,         , DV-Tech Talk
O,  ZL-TRBO     ,           ,        ,         , ZL-TRBO
Q,              ,           ,        ,         , CQ UK
R*, FreeDMR5308 ,           , XRF299R,         , ROAR YSFRefelector
S*, BM53085     ,           , XRF299S, Allstar<br>56870 , Active-Elements
T,  FreeDMR953  ,           ,        ,         , Oceania
U,              ,           ,        , XLX994-U, UK D-Star
V*, FreeDMR505  ,           , XRF299V,         , VK Calling FreeDMR 505
W,  FreeDMR5050 ,           ,        ,         , VK FreeDMR 5050
X,              ,           ,        ,         , X-Vacant
Y,              ,           ,        ,         , YOTA

