XLX530,http://xlx530.hopto.org,XLX530,ZL4DE
XLX389,http://xlxdmr.duckdns.org/db,XLX389,VK4TUX
XLX994,http://xlx994.onlineradioclub.org,XLX994,MX0ONL
XLX511,http://xlx511.ddns.net,XLX511,S56IAR
PEANUT,http://peanut.pa7lim.nl,Peanut Dashboard,PA7LIM
PEANUT ROOMS,http://peanut.pa7lim.nl/rooms.html,Peanut rooms,IT9GFO
XRF757,https://xrf757.openquad.net,Quadnet,Quadnet Array,
TG530,http://101.98.22.194:85/P25,ZL P25 TG530,ZL3DMH
NXDN 530,http://101.98.22.194:85,ZL NXDN 530,ZL3DMH
YSF TG530/XLX299,http://101.98.22.194:85/YSF,YSF 530 XLX299,ZL3DMH
TGIF Network,http://tgif.network/active.html,TGIF 31665,TGIF 31665
YSF 75161,http://www.xlx299.nz/ysf,ROAR YSF,NZ ROAR YSF,ZL2RO
QRM Network,http://24.124.97.212,QRM 31200,KC3OL
FB Group,https://www.facebook.com/groups/xlxreflectorsnz,Digital voices New Zealand,
